#options: 960x540 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:87 out:88 type:b dur:2 cpbdur:2 q:26.46 aq:21.53 tex:5560 mv:2263 misc:1601 imb:43 pmb:429 smb:1568 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:26.32 aq:21.56 tex:41563 mv:9585 misc:1684 imb:312 pmb:1110 smb:618 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:26.39 aq:21.98 tex:15375 mv:6708 misc:2069 imb:54 pmb:1009 smb:977 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:26.43 aq:21.43 tex:5191 mv:2366 misc:1667 imb:41 pmb:432 smb:1567 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:26.36 aq:22.14 tex:6053 mv:4058 misc:1721 imb:35 pmb:518 smb:1487 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:26.20 aq:22.55 tex:79510 mv:12294 misc:1204 imb:447 pmb:1195 smb:398 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:26.26 aq:21.97 tex:24926 mv:8472 misc:1946 imb:89 pmb:1158 smb:793 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:26.29 aq:21.87 tex:7854 mv:4368 misc:1858 imb:36 pmb:644 smb:1360 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:26.23 aq:22.67 tex:11500 mv:7597 misc:2095 imb:87 pmb:900 smb:1053 d:- ref:0 ;
in:98 out:97 type:P dur:2 cpbdur:2 q:26.07 aq:23.74 tex:45045 mv:10235 misc:1664 imb:322 pmb:1101 smb:617 d:- ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:26.14 aq:23.41 tex:21151 mv:7916 misc:1973 imb:80 pmb:1086 smb:874 d:- ref:0 ;
